"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2005","Angels","98","102","100","90","95","100","99","100","101","98","97","98"
"2005","Orioles","99","101","97","89","103","97","101","101","102","100","103","103"
"2005","Red Sox","104","101","113","97","95","98","100","101","99","102","99","98"
"2005","White Sox","103","99","98","89","113","100","101","100","102","99","103","105"
"2005","Indians","98","99","100","84","94","101","102","101","95","100","96","97"
"2005","Tigers","98","102","95","120","97","98","100","101","101","102","104","100"
"2005","Royals","103","102","106","104","95","96","102","101","101","103","98","100"
"2005","Twins","99","100","99","104","95","103","97","99","99","99","98","97"
"2005","Yankees","99","101","95","85","102","100","97","99","101","99","99","100"
"2005","Athletics","97","98","99","94","97","96","99","100","101","100","102","100"
"2005","Mariners","96","97","96","87","98","104","102","97","101","96","103","99"
"2005","Devil Rays","98","99","97","106","99","101","101","100","101","99","103","100"
"2005","Rangers","105","101","103","118","105","100","99","101","100","103","100","102"
"2005","Blue Jays","102","98","104","107","108","102","99","100","99","100","99","102"
"2005","Diamondbacks","105","100","105","128","108","98","102","101","101","102","97","103"
"2005","Braves","99","100","96","96","98","101","101","98","99","102","97","99"
"2005","Cubs","103","100","103","102","106","102","101","100","101","99","100","102"
"2005","Reds","101","98","100","78","109","100","99","98","102","100","103","103"
"2005","Rockies","110","107","107","124","109","96","102","103","100","109","99","105"
"2005","Marlins","97","99","97","113","95","105","104","98","101","97","104","98"
"2005","Astros","100","99","96","115","105","101","98","100","100","98","99","101"
"2005","Dodgers","98","99","96","78","104","102","100","99","99","96","101","100"
"2005","Brewers","101","96","100","98","104","102","103","98","101","98","106","101"
"2005","Nationals","96","98","98","102","91","100","97","98","102","97","107","97"
"2005","Mets","98","101","100","88","94","100","100","101","100","99","102","98"
"2005","Phillies","102","100","99","97","109","99","98","101","98","103","98","103"
"2005","Pirates","99","102","105","95","94","98","98","101","100","104","97","98"
"2005","Cardinals","98","100","100","90","96","100","100","99","101","99","101","98"
"2005","Padres","92","97","91","107","90","103","99","98","99","96","98","96"
"2005","Giants","100","103","101","114","92","98","98","103","97","101","94","97"
